No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d3sq5C2, 1.0000, 0.00, 1.000, 214, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N MUTANT
2, d3sq7B2, 0.9974, 0.29, 1.000, 216, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N_GLU MUTANT
3, d3sq3D2, 0.9974, 0.28, 0.995, 215, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H182A MUTANT
4, d3sq3C2, 0.9974, 0.28, 0.995, 214, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H182A MUTANT
5, d3sq3B2, 0.9974, 0.28, 0.995, 215, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H182A MUTANT
6, d3sq3A2, 0.9974, 0.28, 0.995, 215, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H182A MUTANT
7, d3sq7C2, 0.9945, 0.46, 1.000, 217, 214, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N_GLU MUTANT
8, d3sq8D2, 0.9936, 0.23, 0.995, 214, 213, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE 1 H432R MUTANT (SCAN1 MUTANT)
9, d3sq8A2, 0.9934, 0.24, 0.995, 214, 213, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE 1 H432R MUTANT (SCAN1 MUTANT)
10, d3sq7A2, 0.9903, 0.44, 1.000, 220, 213, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N_GLU MUTANT
11, d3sq8C2, 0.9890, 0.44, 1.000, 220, 213, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE 1 H432R MUTANT (SCAN1 MUTANT)
12, d3sq8B2, 0.9890, 0.22, 0.995, 213, 212, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE 1 H432R MUTANT (SCAN1 MUTANT)
13, d3sq7D2, 0.9882, 0.22, 0.995, 213, 212, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N_GLU MUTANT
14, d3sq5D2, 0.9855, 0.28, 1.000, 213, 212, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N MUTANT
