No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3t2fA, 1.0000, 0.00, 1.000, 389, 389, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS SOAKED WITH EDTA AND DHAP
2, 3t2eA, 0.9887, 0.22, 1.000, 385, 385, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS F6P-BOUND FORM
3, 3t2cA, 0.9785, 1.30, 0.974, 389, 388, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS DHAP-BOUND FORM
4, 3t2gA, 0.9773, 0.70, 1.000, 383, 383, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS Y229F VARIANT WITH DHAP
5, 3t2bA, 0.9729, 0.27, 1.000, 379, 379, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS LIGAND FREE
6, 3t2dA, 0.9653, 1.33, 1.000, 390, 382, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS FBP-BOUND FORM
7, 3r1mA, 0.8864, 1.52, 0.594, 356, 355, STRUCURE OF BIFUNCTIONAL FRUCTOSE 16-BISPHOSPHATE ALDOLASE/PHOSPHATASE (ALDOLASE FORM)
8, 1umgA, 0.8804, 1.37, 0.598, 359, 351, CRYSTAL STRUCTURE OF FRUCTOSE-16-BISPHOSPHATASE
9, 1h2jA, 0.3117, 6.04, 0.071, 300, 183, ENDOGLUCANASE CEL5A IN COMPLEX WITH UNHYDROLYSED AND COVALENTLY LINKED 24-DINITROPHENYL-2-DEOXY-2- FLUORO-CELLOBIOSIDE AT 1.15 A RESOLUTION
10, 1a3hA, 0.3107, 5.92, 0.072, 300, 181, ENDOGLUCANASE CEL5A FROM BACILLUS AGARADHERANS AT 1.6A RESOLUTION
