4C1B B ,149,8.9,10e-4.5,3.2,8.7,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
4C1B A ,157,8.8,10e-4.3,3.3,8.9,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
4C1B C ,147,8.3,0.0007,3.2,9.5,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
1O64 A 1,34,7.3,0.0303,1.8,5.9,Crystal Structure Of An Atp Phosphoribosyltransferase
1O63 A 1,34,7.2,0.0370,1.8,2.9,Crystal Structure Of An Atp Phosphoribosyltransferase
1O64 B 1,33,7.2,0.0104,2.2,9.1,Crystal Structure Of An Atp Phosphoribosyltransferase
1USY F 1,34,7.2,0.0392,2.3,8.8,Atp Phosphoribosyl Transferase (Hisg:hisz) Complex From Thermotoga Maritima
1GXS D 1,48,6.8,0.0377,2.4,8.3,Crystal Structure Of Hydroxynitrile Lyase From Sorghum Bicolor In Complex With Inhibitor Benzoic Acid: A Novel Cyanogenic Enzyme
3KJJ A ,35,6.8,0.0427,1.6,14.3,Crystal Structure Of Nmb1025, A Member Of Yjgf Protein Family, From Neisseria Meningitidis (Hexagonal Crystal Form)ÿ
3KJJ C ,33,6.8,0.0450,1.6,15.2,Crystal Structure Of Nmb1025, A Member Of Yjgf Protein Family, From Neisseria Meningitidis (Hexagonal Crystal Form)ÿ
1NQ3 A ,35,6.8,0.0049,1.7,2.9,Crystal Structure Of The Mammalian Tumor Associated Antigen Uk114
3KJK E ,35,6.8,0.0196,1.6,14.3,Crystal Structure Of Nmb1025, A Member Of Yjgf Protein Family, From Neisseria Meningitidis (Monoclinic Crystal Form)ÿ
3KJK H ,30,6.7,0.0267,1.5,3.3,Crystal Structure Of Nmb1025, A Member Of Yjgf Protein Family, From Neisseria Meningitidis (Monoclinic Crystal Form)ÿ
1NQ3 D ,32,6.7,0.0074,1.6,3.1,Crystal Structure Of The Mammalian Tumor Associated Antigen Uk114
2DYY C ,32,6.7,0.0104,1.7,12.5,Crystal Structure Of Putative Translation Initiation Inhibitor Ph0854 From Pyrococcus Horikoshii
2QZI C ,39,6.6,0.0247,1.3,7.7,The Crystal Structure Of A Conserved Protein Of Unknown Function From Streptococcus Thermophilus Lmg 18311
1NQ3 F ,32,6.6,0.0102,1.6,3.1,Crystal Structure Of The Mammalian Tumor Associated Antigen Uk114
2QZI A ,39,6.6,0.0282,1.5,5.1,The Crystal Structure Of A Conserved Protein Of Unknown Function From Streptococcus Thermophilus Lmg 18311
2DYY A ,32,6.6,0.0155,1.7,12.5,Crystal Structure Of Putative Translation Initiation Inhibitor Ph0854 From Pyrococcus Horikoshii
2DYY L ,33,6.6,0.0167,1.7,12.1,Crystal Structure Of Putative Translation Initiation Inhibitor Ph0854 From Pyrococcus Horikoshii
1QAH A ,35,6.6,0.0136,1.7,0.0,Crystal Structure Of Perchloric Acid Soluble Protein-A Translational Inhibitor
2QZI B ,40,6.5,0.0380,1.4,7.5,The Crystal Structure Of A Conserved Protein Of Unknown Function From Streptococcus Thermophilus Lmg 18311
3QQN A ,34,6.5,0.0361,2.7,5.9,The Retinal Specific Cd147 Ig0 Domain: From Molecular Structure To Biological Activityÿ
3GTZ C ,34,6.4,0.0212,1.5,5.9,Crystal Structure Of A Putative Translation Initiation Inhibitor From Salmonella Typhimuriumÿ
