No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d3t2fA_, 1.0000, 0.00, 1.000, 389, 389, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS SOAKED WITH EDTA AND DHAP
2, d3t2eA_, 0.9887, 0.22, 1.000, 385, 385, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS F6P-BOUND FORM
3, d3t2cA_, 0.9785, 1.30, 0.974, 389, 388, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS DHAP-BOUND FORM
4, d3t2gA_, 0.9773, 0.70, 1.000, 383, 383, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS Y229F VARIANT WITH DHAP
5, d3t2bA_, 0.9729, 0.27, 1.000, 379, 379, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS LIGAND FREE
6, d3t2dA_, 0.9653, 1.33, 1.000, 390, 382, FRUCTOSE-16-BISPHOSPHATE ALDOLASE/PHOSPHATASE FROM THERMOPROTEUS NEUTROPHILUS FBP-BOUND FORM
7, d3r1mA_, 0.8864, 1.52, 0.594, 356, 355, STRUCURE OF BIFUNCTIONAL FRUCTOSE 16-BISPHOSPHATE ALDOLASE/PHOSPHATASE (ALDOLASE FORM)
8, d1umgA_, 0.8804, 1.37, 0.598, 359, 351, CRYSTAL STRUCTURE OF FRUCTOSE-16-BISPHOSPHATASE
9, d1awh.2, 0.2860, 5.91, 0.060, 295, 168, NOVEL COVALENT THROMBIN INHIBITOR FROM PLANT EXTRACT
10, d1awh.1, 0.2832, 6.30, 0.063, 295, 174, NOVEL COVALENT THROMBIN INHIBITOR FROM PLANT EXTRACT
