
3JBQ 1 ,94,11.6,10e-7.8,2.7,14.9,Domain Organization And Conformational Plasticity Of The G Protein Effector, Pde6
3JBQ 2 ,96,11.5,10e-7.6,3.0,14.6,Domain Organization And Conformational Plasticity Of The G Protein Effector, Pde6
2ZMF B ,98,11.1,10e-6.0,2.5,10.2,Crystal Structure Of The C-Terminal Gaf Domain Of Human Phosphodiesterase 10a
1YKD A ,97,11.0,0.0002,2.8,15.5,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
1YKD A 1,93,11.0,10e-6.4,2.8,15.1,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
2ZMF A ,104,10.7,10e-5.0,2.9,9.6,Crystal Structure Of The C-Terminal Gaf Domain Of Human Phosphodiesterase 10a
3DBA A ,97,10.6,10e-5.9,2.5,16.5,Crystal Structure Of The Cgmp-Bound Gaf A Domain From The Photoreceptor Phosphodiesterase 6c
3JAB A ,97,10.6,10e-5.9,2.5,16.5,Domain Organization And Conformational Plasticity Of The G Protein Effector, Pde6
3JAB M ,98,10.6,10e-5.9,2.5,16.3,Domain Organization And Conformational Plasticity Of The G Protein Effector, Pde6
3W2Z A ,96,10.5,10e-6.3,2.3,14.6,Crystal Structure Of The Cyanobacterial Protein
1YKD B ,94,10.5,0.0007,2.4,8.5,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
1YKD B 2,94,10.5,10e-5.9,2.5,6.4,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
1YKD A 2,93,10.4,10e-6.1,2.3,8.6,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
1YKD A ,92,10.4,0.0013,2.2,7.6,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
4XTQ A 1,106,10.4,10e-5.8,2.6,12.3,Crystal Structure Of A Mutant (c20s) Of A Near-infrared Fluorescent Protein Bphp1-fp
4CQH A ,118,10.4,10e-4.4,2.9,13.6,Structure Of Infrared Fluorescent Protein Ifp2.0
4CQH A 1,116,10.4,10e-5.8,3.0,13.8,Structure Of Infrared Fluorescent Protein Ifp2.0
1YKD B ,95,10.4,0.0010,3.0,15.8,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
1YKD B 1,94,10.4,10e-6.3,2.8,14.9,Crystal Structure Of The Tandem Gaf Domains From A Cyanobacterial Adenylyl Cyclase: Novel Modes Of Ligand- Binding And Dimerization
3IBJ B ,97,10.3,0.0122,2.6,12.4,X-Ray Structure Of Pde2aÿ
3IBJ B 1,104,10.3,10e-5.8,3.1,11.5,X-Ray Structure Of Pde2aÿ
4Y3I A 1,112,10.1,10e-5.2,2.9,13.4,Pas-gaf Fragment From Deinococcus Radiodurans Bphp Assembled With Bv - Y307s, Low Dose
1MC0 A ,103,10.0,0.0061,2.9,9.7,Regulatory Segment Of Mouse 3',5'-Cyclic Nucleotide Phosphodiesterase 2a, Containing The Gaf A And Gaf B Domains
1MC0 A 1,107,10.0,10e-5.0,3.0,9.3,Regulatory Segment Of Mouse 3',5'-Cyclic Nucleotide Phosphodiesterase 2a, Containing The Gaf A And Gaf B Domains
1MC0 A 2,88,10.0,10e-5.1,2.4,10.2,Regulatory Segment Of Mouse 3',5'-Cyclic Nucleotide Phosphodiesterase 2a, Containing The Gaf A And Gaf B Domains
1MC0 A ,95,10.0,0.0070,2.7,13.7,Regulatory Segment Of Mouse 3',5'-Cyclic Nucleotide Phosphodiesterase 2a, Containing The Gaf A And Gaf B Domains
3TRC A ,91,9.9,10e-5.2,2.3,17.6,Structure Of The Gaf Domain From A Phosphoenolpyruvate-Protein Phosphotransferase (Ptsp) From Coxiella Burnetiiÿ
4Z1W A ,121,9.9,0.0003,3.0,13.2,Crystal Structure Of Monomeric Bacteriophytochrome Mutant D207l Y263f From Synchrotron
4Z1W A 1,112,9.9,10e-4.9,2.8,11.6,Crystal Structure Of Monomeric Bacteriophytochrome Mutant D207l Y263f From Synchrotron
4XTQ A ,106,9.9,0.0002,2.5,12.3,Crystal Structure Of A Mutant (c20s) Of A Near-infrared Fluorescent Protein Bphp1-fp
5AJG A ,113,9.9,0.0003,2.8,11.5,Structure Of Infrared Fluorescent Protein Ifp1.4 At 1.11 Angstrom Resolution
5AJG A 1,120,9.9,10e-4.9,2.9,14.2,Structure Of Infrared Fluorescent Protein Ifp1.4 At 1.11 Angstrom Resolution
4O8G A ,121,9.9,0.0003,2.9,14.0,Structure Of Infrared Fluorescent Protein 1.4
4O8G A 1,120,9.9,10e-4.9,3.0,12.5,Structure Of Infrared Fluorescent Protein 1.4
4MMN H ,87,9.8,10e-5.8,2.3,11.5,Structural And Biochemical Analysis Of Type Ii Free Methionine-r- Sulfoxide Reductase From Thermoplasma Acidophilum
4MMN C ,86,9.8,10e-5.8,2.3,11.6,Structural And Biochemical Analysis Of Type Ii Free Methionine-r- Sulfoxide Reductase From Thermoplasma Acidophilum
4MMN B ,87,9.8,10e-5.8,2.4,11.5,Structural And Biochemical Analysis Of Type Ii Free Methionine-r- Sulfoxide Reductase From Thermoplasma Acidophilum
4FOF A ,104,9.8,10e-5.2,2.7,11.5,Crystal Structure Of The Blue-light Absorbing Form Of The Thermosynechococcus Elongatus Pixj Gaf-domain
4GLQ A ,102,9.8,10e-5.2,2.7,11.8,Crystal Structure Of The Blue-light Absorbing Form Of The Thermosynechococcus Elongatus Pixj Gaf-domain
1VHM B ,97,9.8,10e-5.4,2.5,14.4,Crystal Structure Of An Hypothetical Protein
2O9C A ,108,9.7,0.0005,2.7,13.9,Crystal Structure Of Bacteriophytochrome Chromophore Binding Domain At 1.45 Angstrom Resolution
2O9C A 1,111,9.7,10e-4.6,2.9,13.5,Crystal Structure Of Bacteriophytochrome Chromophore Binding Domain At 1.45 Angstrom Resolution
4O0P A ,97,9.7,0.0378,2.8,12.4,Crystal Structure Of D. Radiodurans Bacteriophytochrome Photosensory Core Module In Its Dark Form
4O0P A 1,95,9.7,0.0004,2.6,12.6,Crystal Structure Of D. Radiodurans Bacteriophytochrome Photosensory Core Module In Its Dark Form
4MMN A ,86,9.7,10e-5.6,2.3,11.6,Structural And Biochemical Analysis Of Type Ii Free Methionine-r- Sulfoxide Reductase From Thermoplasma Acidophilum
4O0P B ,99,9.7,0.0394,2.6,14.1,Crystal Structure Of D. Radiodurans Bacteriophytochrome Photosensory Core Module In Its Dark Form
4O0P B 1,98,9.7,0.0004,2.8,12.2,Crystal Structure Of D. Radiodurans Bacteriophytochrome Photosensory Core Module In Its Dark Form
1VHM A ,94,9.7,10e-5.3,2.3,13.8,Crystal Structure Of An Hypothetical Protein
4Y5F A 1,120,9.7,10e-4.5,3.0,12.5,Pas-gaf Fragment From Deinococcus Radiodurans Bphp Assembled With Bv - Y307s, High Dose
